Country,id,Traveller Entry,TEC,Covid-19 Test,CTC,Quarantine,QC,Masks,MC,Shopping,SC,Transportation,TC,Education,ET,Healthcare,HC,
Russia,RUS,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing all levels,0,No data,,
Rwanda,RWA,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Saint Kitts and Nevis,KNA,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Saint Lucia,LCA,Allowed,2,Negative PCR test results is required for all countries,0,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Saint Vincent and the Grenadines,VCT,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are recommended,3,All shops open,2,Transport Operational,2,No measures,2,No data,,
Samoa,WSM,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are not required,2,All shops open,2,Transport Operational,2,No measures,2,No data,,
San Marino,SMR,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Sao Tome and Principe,STP,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Saudi Arabia,SAU,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Senegal,SEN,Partially Allowed,1,Negative PCR test results is required for all countries,0,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Serbia,SRB,Allowed,2,Negative PCR results required for some countries,1,There is no requirement to quarantine when arriving,2,Masks are required for some places,1,All shops open,2,Transport Operational,2,Recommend closing,1,Current covid patients in the hospital: 661,1,
Seychelles,SYC,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are not required,2,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Sierra Leone,SLE,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Singapore,SGP,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Slovakia,SVK,Allowed,2,Negative PCR results required for some countries,1,Quarantine required for travelers,0,Masks are required for some places,1,All shops open,2,Transport Operational,2,Recommend closing,1,Current covid patients in the hospital: 1413,1,
Slovenia,SVN,Partially Allowed,1,Negative PCR results required for some countries,1,Quarantine required for some travelers,1,Masks are required for some places,1,All shops open,2,Transport Operational,2,Recommend closing,1,Current covid patients in the hospital: 577,1,
Solomon Islands,SLB,Partially Allowed,1,No data,3,Quarantine required for travelers,0,Masks are not required,2,All shops open,2,Transport Operational,2,No measures,2,No data,,
Somalia,SOM,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are not required,2,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
South Africa,ZAF,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
South Sudan,SSD,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,0,No measures,2,No data,,
Spain,ESP,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,Current covid patients in the hospital: 1640,1,
Sri Lanka,LKA,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing (only some levels or categories),0,No data,,
Sudan,SDN,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are not required,2,All shops open,2,Transport Operational,2,No measures,2,No data,,
Suriname,SUR,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing (only some levels or categories),0,No data,,
Swaziland,SWZ,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Sweden,SWE,Partially Allowed,1,Negative PCR test results is required for all countries,0,There is no requirement to quarantine when arriving,2,Masks are not required,2,All shops open,2,Transport Operational,2,No measures,2,Current covid patients in the hospital: 240,1,
Switzerland,CHE,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are recommended,3,All shops open,2,Transport Operational,2,Recommend closing,1,Current covid patients in the hospital: 554,1,
Syria,SYR,Partially Allowed,1,No tests required,2,There is no requirement to quarantine when arriving,2,Masks are not required,2,All shops open,2,Transport Operational with restrictions,1,Require closing all levels,0,No data,,
Taiwan,TWN,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required for some places,1,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Tajikistan,TJK,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Tanzania,TZA,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are not required,2,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Thailand,THA,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Togo,TGO,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational,2,No measures,2,No data,,
Tonga,TON,Banned,0,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Trinidad and Tobago,TTO,Allowed,2,No tests required,2,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing (only some levels or categories),0,No data,,
Tunisia,TUN,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Turkey,TUR,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Turkmenistan,TKM,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Tuvalu,TUV,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,No measures,2,No data,,
Uganda,UGA,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing all levels,0,No data,,
Ukraine,UKR,Allowed,2,Negative PCR results required for some countries,1,Quarantine required for some travelers,1,Masks are required for some places,1,All shops open,2,Transport Operational with restrictions,1,Require closing (only some levels or categories),0,No data,,
United Arab Emirates,ARE,Allowed,2,Negative PCR results required for some countries,1,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
United Kingdom,GBR,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required for some places,1,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,Current covid patients in the hospital: 8966,1,
United States of America,USA,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required for some places,1,All shops open,2,Transport Operational,2,Recommend closing,1,Current covid patients in the hospital: 39378,1,
Uruguay,URY,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required for some places,1,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Uzbekistan,UZB,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Vanuatu,VUT,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Venezuela,VEN,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,Require closing all levels,0,No data,,
Vietnam,VNM,Partially Allowed,1,No data,3,Quarantine required for travelers,0,Masks are required for some places,1,All shops open,2,Transport Operational with restrictions,1,Require closing all levels,0,No data,,
Yemen,YEM,Banned,0,No tests required,2,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Zambia,ZBM,Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational,2,No measures,2,No data,,
Zimbabwe,ZWE,Allowed,1,No data,3,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,No measures,2,No data,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
